,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
126,sh.600031,三一重工,5,6.64%,20.01%,30.56%,29.53%,21.47%,8.68%,0.90%,0.60%,2.98%,12.38%
127,sz.002202,金风科技,5,6.47%,9.92%,9.14%,7.94%,13.50%,14.32%,16.35%,18.08%,13.01%,3.26%
128,sh.603659,璞泰来,5,25.93%,18.03%,10.84%,20.61%,22.19%,26.18%,,,,
129,sz.300760,迈瑞医疗,5,32.60%,31.86%,31.80%,27.74%,34.16%,,,,,
130,sz.300751,迈为股份,5,13.99%,16.88%,25.40%,19.80%,23.55%,,,,,
131,sz.300763,锦浪科技,5,32.68%,23.29%,23.58%,20.77%,40.60%,,,,,
132,sh.600989,宝丰能源,5,19.52%,24.99%,18.77%,20.53%,29.39%,,,,,
133,sz.000876,新希望,5,-4.65%,-26.14%,15.00%,21.17%,8.04%,11.03%,12.41%,12.00%,13.19%,15.65%
134,sz.300782,卓胜微,5,13.10%,41.44%,49.18%,45.65%,41.32%,,,,,
135,sz.000100,TCL科技,5,0.56%,26.08%,13.67%,8.64%,11.51%,10.15%,6.82%,12.11%,19.67%,16.28%
136,sh.600018,上港集团,5,16.24%,15.68%,9.80%,11.41%,14.16%,17.72%,11.53%,11.50%,12.96%,10.77%
137,sz.002460,赣锋锂业,5,62.19%,32.08%,10.75%,4.40%,20.45%,45.03%,21.25%,7.66%,6.29%,6.90%
138,sz.002466,天齐锂业,5,78.77%,23.14%,-30.14%,-69.98%,22.91%,31.40%,39.46%,8.22%,6.83%,-14.11%
139,sh.601601,中国太保,5,10.81%,12.14%,12.49%,16.92%,12.55%,10.89%,9.10%,14.16%,10.23%,9.49%
140,sh.600015,华夏银行,5,8.09%,8.13%,7.76%,9.04%,10.83%,12.38%,14.58%,17.23%,19.24%,19.37%
141,sh.601100,恒立液压,5,21.47%,32.63%,34.95%,25.59%,19.94%,10.39%,2.02%,1.84%,2.67%,6.57%
142,sh.600039,四川路桥,5,32.53%,22.43%,15.83%,11.50%,8.65%,9.36%,11.43%,12.74%,12.79%,9.92%
143,sz.300413,芒果超媒,5,10.19%,15.34%,20.46%,16.03%,23.65%,4.40%,4.16%,7.49%,16.94%,
144,sz.002120,韵达股份,5,9.05%,9.79%,10.09%,21.24%,32.37%,35.54%,54.77%,8.97%,16.55%,7.52%
145,sh.600233,圆通速递,5,15.91%,10.59%,11.77%,13.67%,18.38%,16.56%,29.58%,4.28%,4.68%,5.38%
146,sh.601138,工业富联,5,16.18%,17.95%,18.06%,23.03%,33.65%,,,,,
147,sz.000708,中信特钢,5,20.57%,26.01%,22.48%,36.34%,12.10%,10.19%,8.11%,7.93%,8.30%,6.64%
148,sz.002938,鹏鼎控股,5,19.37%,14.62%,13.73%,15.51%,18.37%,,,,,
149,sh.601988,中国银行,4,9.78%,10.16%,9.92%,10.82%,11.58%,11.86%,12.12%,13.97%,16.43%,17.95%
150,sz.300896,爱美客,4,23.24%,20.03%,16.94%,57.79%,,,,,,
151,sz.002493,荣盛石化,4,6.95%,29.89%,24.56%,10.15%,9.14%,14.86%,16.36%,4.05%,-5.11%,3.33%
152,sh.600732,爱旭股份,4,32.93%,-2.41%,21.71%,46.04%,3.50%,14.61%,5.22%,-26.90%,-7.03%,-5.00%
153,sz.000001,平安银行,4,10.97%,9.57%,8.54%,10.20%,10.74%,10.93%,12.43%,14.95%,16.30%,15.47%
154,sh.601689,拓普集团,4,14.97%,11.07%,8.29%,6.25%,11.01%,15.00%,18.86%,17.64%,,
155,sz.300059,东方财富,4,15.58%,22.16%,17.58%,9.92%,6.31%,4.63%,6.80%,36.79%,9.29%,0.29%
156,sh.603290,斯达半导,4,15.23%,12.94%,21.03%,27.22%,,,,,,
157,sh.603195,公牛集团,4,27.54%,27.95%,31.50%,52.36%,,,,,,
